[3, 6]	50
[3, 6]	50
[3, 6]	49
[3, 6]	48
[3, 6]	47
[3, 6]	46
[3, 6]	45
[3, 6]	44
[3, 6]	43
[3, 6]	42
[3, 6]	41
[3, 6]	40
[3, 6]	39
[3, 6]	38
[3, 6]	37
[3, 6]	36
[3, 6]	35
[3, 6]	34
[3, 6]	33
[3, 6]	32
[3, 6]	31
[3, 6]	30
[3, 6]	29
[3, 6]	28
[3, 6]	27
[3, 6]	26
[3, 6]	25
[3, 6]	24
[3, 6]	23
[3, 6]	22
[3, 6]	21
[3, 6]	20
[3, 6]	19
[3, 6]	18
[3, 6]	17
[3, 6]	16
[3, 6]	15
[3, 6]	14
[3, 6]	13
[3, 6]	12
[3, 6]	11
[3, 6]	10
[3, 6]	9
[3, 6]	8
[4, 5]	7
[3, 4]	6
[3, 3]	5
[2, 2]	4
[1, 1]	3
[2, 2]	2
[2, 2]	11
[2, 2]	10
[2, 2]	9
[2, 2]	8
[1, 1]	7
[2, 2]	6
[2, 2]	15
[2, 2]	14
[2, 2]	13
[2, 2]	12
[2, 2]	11
[2, 2]	10
[2, 2]	9
[2, 2]	8
[1, 1]	7
[2, 2]	6
[2, 2]	15
[2, 2]	14
[2, 2]	13
[2, 2]	12
[2, 2]	11
[2, 2]	10
[2, 2]	9
[2, 2]	8
[1, 1]	7
[2, 2]	6
[2, 2]	15
[2, 2]	14
[2, 2]	13
[2, 2]	12
[2, 2]	11
[2, 2]	10
[2, 2]	9
[2, 2]	8
[1, 1]	7
[2, 2]	6
[2, 2]	15
[2, 2]	14
[2, 2]	13
[2, 2]	12
[2, 2]	11
[2, 2]	10
[2, 2]	9
[2, 2]	8
[1, 1]	7
[2, 2]	6
[2, 2]	15
[2, 2]	14
[2, 2]	13
[2, 2]	12
[2, 2]	11
[2, 2]	10
[2, 2]	9
[2, 2]	8
[1, 1]	7
[2, 2]	6
[2, 2]	15
[2, 2]	14
[2, 2]	13
[2, 2]	12
[2, 2]	11
[2, 2]	10
[2, 2]	9
[2, 2]	8
[1, 1]	7
[2, 2]	6
[2, 2]	15
[2, 2]	14
[2, 2]	13
[2, 2]	12
[2, 2]	11
[2, 2]	10
[2, 2]	9
[2, 2]	8
[1, 1]	7
[2, 2]	6
[2, 2]	15
[2, 2]	14
[2, 2]	13
[2, 2]	12
[2, 2]	11
[2, 2]	10
[2, 2]	9
[2, 2]	8
[1, 1]	7
[2, 2]	6
[2, 2]	15
[2, 2]	14
[2, 2]	13
[2, 2]	12
[2, 2]	11
[2, 2]	10
[2, 2]	9
[2, 2]	8
[1, 1]	7
[2, 2]	6
[2, 2]	15
[2, 2]	14
[2, 2]	13
[2, 2]	12
[2, 2]	11
[2, 2]	10
[2, 2]	9
[2, 2]	8
[1, 1]	7
[2, 2]	6
[2, 2]	15
[2, 2]	14
[2, 2]	13
[2, 2]	12
[2, 2]	11
[2, 2]	10
[2, 2]	9
[2, 2]	8
[1, 1]	7
[2, 2]	6
[2, 2]	15
[2, 2]	14
[2, 2]	13
[2, 2]	12
[2, 2]	11
[2, 2]	10
[2, 2]	9
[2, 2]	8
[1, 1]	7
[2, 2]	6
[2, 2]	15
[2, 2]	14
[2, 2]	13
[2, 2]	12
[2, 2]	11
[2, 2]	10
[2, 2]	9
[2, 2]	8
[1, 1]	7
[2, 2]	6
[2, 2]	15
[2, 2]	14
[2, 2]	13
[2, 2]	12
[2, 2]	11
[2, 2]	10
[2, 2]	9
[2, 2]	8
[1, 1]	7
[2, 2]	6
[2, 2]	15
[2, 2]	14
[2, 2]	13
[2, 2]	12
[2, 2]	11
